13,100
140,106
120,160
96,42
2,63
24,26
125,13
27,59
69,19
52,19
81,23
1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,a2,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,a3,0,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,0,0,1,a3,1,1,1,1,1,2,1,2,1,2,1,1,1,0,2,0,0,2,1,2,2,2,2,2,0,2,2,2,1,1,0,0,2,0,2,2,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0
1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,a2,1,1,1,0,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,a3,1,0,1,0,0,1,1,1,1,1,0,1,1,1,0,1,0,1,1,a3,1,1,1,0,1,2,1,2,1,2,1,2,2,2,0,2,0,1,1,0,1,2,1,1,1,0,1,2,1,2,1,0,1,2,0,1,1,0,0,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,a2,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,a3,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,a3,1,1,1,1,0,0,0,2,1,2,2,1,0,1,2,1,0,1,0,0,2,1,1,2,2,2,2,1,1,1,0,2,2,0,0,2,1,1,0,0,1,0,1,1,0,0,1,1,1,0,1,1,0,1,0
1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,a2,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,a3,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,a3,1,1,1,1,1,0,0,1,0,0,1,2,1,2,2,1,2,0,1,1,2,0,2,2,1,2,2,1,2,0,1,2,2,2,2,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,a2,1,1,1,0,0,0,1,1,1,1,1,1,1,1,2,1,1,1,0,0,0,1,1,1,2,0,2,2,1,0,2,1,2,2,2,1,2,0,1,2,1,1,2,0,2,0,1,2,0,0,2,2,2,0,1,2,0,2,1,1,2,a3,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,a3,1,1,1,1,1,2,2,1,2,2,1,0,1,1,0,2,0,2,2,1,2,0,1,1,1,0,1,1,1,1,2,0,1,2,2,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1
1,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,a2,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,2,2,2,2,2,0,2,2,0,1,2,2,2,0,2,2,2,0,2,2,2,2,2,2,1,2,2,2,0,1,1,1,2,2,0,0,0,2,2,0,2,1,b3,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,a3,1,1,0,0,0,0,2,1,1,0,2,0,2,2,0,0,2,2,0,2,2,1,2,0,0,2,1,1,1,0,2,0,2,2,0,0,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1
1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,a2,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,2,1,1,1,1,2,2,2,1,1,1,2,1,1,0,2,2,1,2,2,2,2,2,2,2,0,0,2,2,2,1,0,1,0,2,2,1,1,2,0,0,1,2,0,2,a3,1,0,1,0,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,a3,1,1,0,1,1,0,2,1,1,2,2,1,1,0,1,1,2,2,1,2,2,1,2,1,1,0,0,1,1,1,1,0,2,0,1,2,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,a2,1,1,1,1,0,1,1,1,1,1,1,0,1,1,2,1,2,2,2,2,0,1,1,0,1,2,0,1,0,1,1,1,0,1,0,2,1,0,0,2,2,0,2,2,0,1,1,2,0,2,2,2,0,2,1,1,1,1,0,1,2,a3,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,a3,1,1,1,1,1,2,0,1,1,1,0,2,2,1,2,2,2,2,0,2,0,0,0,2,2,1,1,1,1,1,1,1,2,0,0,2,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1
0,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,a2,1,1,1,0,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,2,2,2,1,2,2,2,1,2,2,2,1,2,0,2,0,2,0,2,2,0,0,2,1,0,2,0,1,2,2,0,2,1,1,0,2,0,1,2,1,0,2,b3,2,2,0,1,0,0,1,0,0,1,1,2,1,1,1,1,0,1,1,a3,1,1,1,1,1,1,0,2,1,2,2,2,0,1,1,1,0,1,2,2,2,0,0,2,1,0,2,0,1,2,0,2,2,1,2,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,a2,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,2,1,2,1,1,0,0,1,1,0,2,0,1,1,1,2,2,0,2,0,2,2,1,0,0,2,2,2,2,2,0,2,2,2,2,2,2,2,1,2,0,2,2,0,2,b3,0,2,1,2,2,2,1,1,2,1,1,2,1,0,0,0,1,1,1,a3,1,1,1,1,1,2,2,1,0,0,2,0,0,1,1,0,1,2,1,1,1,1,1,2,1,2,2,2,2,0,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1
